Reference time: 04/16/19 06:14:52 UTC,,,,,,,,,,,,,,,,,,,,,,,,,
CentisecTime: 155539529240,,,,,,,,,,,,,,,,,,,,,,,,,
DeviceID: 71, DeviceFamily: S6, OFVersion: 2.1.0.999, FirmwareVersion: 1.01,,,,,,,,,,,,,,,,,,,,,,
Acceleration.forward,Acceleration.side,Acceleration.up,Rotation.roll,Rotation.pitch,Rotation.yaw,RawPlayerLoad,SmoothedPlayerLoad,imuAcceleration.forward,imuAcceleration.side,imuAcceleration.up,imuOrientation.forward,imuOrientation.side,imuOrientation.up,Facing,Latitude,Longitude,Odometer,RawVelocity,SmoothedVelocity,GNSS.LPS.Acceleration,MetabolicPower,GNSS.Fix,GNSS.Strength,GNSS.HDOP,HeartRate
0.082764,0.36058,-1.64221,111.203,304.268,74.115,0.274902,1.51948,-1.00626,1.2514,-0.494873,0.756799,0.619062,-0.209803,-17.3197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-0.10648,0.514008,-1.81016,139.08,340.868,29.097,0.283203,1.51784,-1.01685,1.28346,-0.0667456,0.729118,0.616255,-0.297685,-22.3804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-0.326216,0.642268,-1.99166,170.373,391.925,-42.151,0.297852,1.51636,-1.01345,1.23097,0.394009,0.698485,0.59834,-0.392565,-22.9485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-0.543532,0.651464,-2.13638,190.869,456.951,-134.505,0.272461,1.51506,-1.01356,1.04789,0.777233,0.665819,0.561567,-0.491252,-24.0597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-1.0014,0.741488,-2.37692,186.66,542.839,-248.27,0.404297,1.51396,-0.955662,0.704699,1.40676,0.629455,0.506347,-0.589405,-25.1774,-37.8508818,144.9884847,363.364,0.2455,0.835476,0.823896,0,12,0,0.86,0
-1.69158,1.06577,-2.74138,142.496,620.309,-349.408,0.634766,1.51308,-0.62974,0.254729,2.3243,0.582539,0.444947,-0.680199,-26.3529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-2.74234,1.44377,-3.08986,52.399,701.5,-409.859,0.914551,1.51244,-0.0447925,-0.527346,3.3442,0.531374,0.388278,-0.752915,-26.7467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-3.50803,1.95923,-3.28588,-46.97,716.872,-353.129,0.921387,1.51206,0.603567,-1.17494,4.01967,0.47949,0.365504,-0.797807,-27.6952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-4.13046,2.11266,-3.29749,-102.907,625.738,-217.709,0.760742,1.51196,0.719055,-1.98214,4.28692,0.436126,0.368254,-0.821087,-30.4398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-4.58106,1.83194,-3.41898,-103.09,442.433,-28.548,0.580078,1.51214,0.254058,-2.52806,4.43837,0.420266,0.378969,-0.824475,-33.3472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-4.8642,1.56768,-3.24425,-54.412,258.213,113.216,0.443359,1.51259,0.0649393,-2.86832,4.33027,0.425539,0.382965,-0.819912,-35.1524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-4.83129,1.17564,-2.8072,-2.013,128.222,158.295,0.411621,1.51333,0.0195994,-2.94666,3.89087,0.45057,0.382896,-0.80646,-36.2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-4.3773,0.77924,-2.31788,19.703,73.749,115.412,0.529785,1.51434,0.0951607,-2.67865,3.23748,0.481718,0.372441,-0.793243,-36.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-3.6058,0.649528,-1.80871,28.06,60.39,16.043,0.694824,1.5156,0.318785,-2.10757,2.48592,0.509923,0.358232,-0.782079,-34.6208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-2.93207,0.528528,-1.3581,35.441,65.514,-86.925,0.754883,1.51711,0.492658,-1.62213,1.80121,0.536134,0.336681,-0.774084,-32.0219,-37.8508823,144.9884845,363.423,0.2335,0.611216,0.550626,0,12,0,0.86,0
-2.3745,0.498036,-0.9438,29.463,81.435,-169.702,0.719727,1.51883,0.668175,-1.20831,1.20694,0.55842,0.313164,-0.768176,-28.0937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
